,city,street,district,Reference and listing Date,contract,type,surface,rooms,floor,total building floors,Car parking,availability,other features,price (k€),condominium fees,deposit,year of construction,condition,heating,Air conditioner,Energy Efficiency
1097,Milan,Piazza del Carmine,Brera,PIAZZA DEL CARMINE - BRERA - 01/16/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,90,2,3,5 floors,,Available,Optic fiberAlarm systemSecurity doorExternal exposureFull day conciergeTV system with satellite dishOnly Kitchen FurnishedCellarWindow frames in double glass / wood,3167.0,€ 177/month,Not indicated,1900,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold",G290 kWh/m² year
1570,Milan,Piazzale Luigi Cadorna,Cadorna - Castello,Cadorna app - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,105,2,5,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorFull day conciergeCentralized TV systemOnly Kitchen FurnishedWindow frames in double glass / woodDouble exposure,3167.0,€ 217/month,Not indicated,1920,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",D216.96 kWh/m² year
425,Milan,Piazza Arnoldo Mondadori,Quadronno - Crocetta,5213 - 02/13/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,163,3,2,7 floors,1 in garage/box,Available,Optic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedDouble exposure,3200.0,€ 416/month,"€ 9,600",1940,Excellent / Refurbished,"Central, with radiators",Independent,D141 kWh/m² year
163,Milan,via Maroncelli,Garibaldi - Corso Como,APPARTAMENTO DI DESIGN DI 100 MQ C.A. - 03/04/2024,Rent,Apartment | Full ownership,100,3,0,,,Available,Video entryphoneSecurity doorInternal exposureFurnished,3200.0,€ 150/month,Not indicated,,Excellent / Refurbished,Independent,"Independent, cold",G175 kWh/m² year
160,Milan,Via Saronno,Sempione,9258 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,110,3,1,3 floors,,Available,Security doorClosetBalconyTerraceCentralized TV systemPartially furnishedWindow frames in double glass / woodDouble exposure,3200.0,No condominium fees,"€ 10,500",1920,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold",
1686,Milan,Via George Washington,Washington,a574 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,85,2,4,5 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,3200.0,€ 400/month,"€ 9,600",2020,New / Under construction,"Central, with radiators, powered by methane","Independent, cold/hot",B≥ 175 kWh/m² year
130,Milan,Corso Buenos Aires,Porta Venezia,EK-109304065 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,120,3,4,5 floors,,,Optic fiberSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / woodDouble exposure,3200.0,€ 350/month,"€ 9,600",1850,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot","A3≥ 3,51 kWh/m² year"
1912,Milan,Viale Bianca Maria,Piave - Tricolore,BM GIARDINO BOX - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,140,2,"2 floors: Semi-basement, Mezzanine, with lift",6 floors,1 in garage/box,,AtticOptic fiberVideo entryphoneAlarm systemSecurity doorFull day conciergeCentralized TV systemCellarPrivate gardenWindow frames in double glass / metal,3200.0,€ 300/month,"€ 11,400",1900,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",
1500,Milan,Via De Amicis,Corso Genova,MI-00102 - 03/01/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,70,2,8,8 floors,1 in garage/box,Available from 29/02/2024,HydromassageElectric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureTerraceFull day conciergeSingle tv systemFurnishedCellarWindow frames in double glass / PVC,3200.0,€ 300/month,Not indicated,1950,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",C162.92 kWh/m² year
328,Milan,Via Giacomo Leopardi,Vincenzo Monti,Appartamento ristrutturato in prestigioso stabile - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,90,2,3,6 floors,,Available from 01/06/2024,Optic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetFull day conciergeCentralized TV systemFurnishedCellarWindow frames in glass / wood,3200.0,€ 300/month,Not indicated,1961,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",B≥ 175 kWh/m² year
617,Milan,Via Nerino,Carrobbio,Nerino 90 - 03/01/2024,Rent,Apartment | Full ownership | Luxury property,90,3,3,4 floors,,Available,Optic fiberSecurity doorClosetBalconyCentralized TV systemPartially furnishedCellarWindow frames in double glass / woodDouble exposure,3200.0,€ 170/month,Not indicated,1900,Excellent / Refurbished,Independent,Independent,G175 kWh/m² year
50,Milan,Corso Buenos Aires,Porta Venezia,b.aires5 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,120,3,4,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / woodDouble exposure,3200.0,€ 350/month,"€ 9,600",1850,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",A2190 kWh/m² year
1705,Milan,Corso di Porta Vittoria,Guastalla,APP_6VG - 02/15/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,140,4,6,6 floors,,Available from 01/08/2024,Electric gateOptic fiberSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,3250.0,€ 300/month,"€ 9,750",1930,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold",F≥ 175 kWh/m² year
276,Milan,Via Edmondo De Amicis,Corso Genova,Ad.Sant'Ambrogio140 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,140,3,5,6 floors,,Available from 01/06/2024,Electric gateOptic fiberVideo entryphoneSecurity doorBalconyFull day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / PVCDouble exposure,3250.0,€ 291/month,Not indicated,1900,Excellent / Refurbished,"Independent, with radiators, gas powered","Independent, cold/hot",E151.42 kWh/m² year
2,Milan,via GIUSEPPE FRUA  21/6,Frua,VERCELLI HOME 4 - 02/10/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,160,4,"2 floors: Ground floor, 4",8 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemCellarShared gardenWindow frames in double glass / PVCDouble exposure,3290.0,€ 500/month,"€ 9,870",1970,New / Under construction,"Central, floor heating, powered by methane","Independent, cold/hot",F170 kWh/m² year
1249,Milan,Via Santa Maria Fulcorina,Carrobbio,CS_FulcorinaAFF - 02/19/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,111,3,1,3 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / woodDouble exposure,3300.0,€ 770/month,"€ 9,900",1930,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold",E172.68 kWh/m² year
191,Milan,"Viale Isonzo,46",Porta Romana - Medaglie dOro,137345 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,110,3,3,,,Available from 01/05/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,3300.0,No condominium fees,"€ 6,600",,Excellent / Refurbished,,,C175 kWh/m² year
746,Milan,Via Carlo Botta,Porta Romana - Medaglie dOro,XBOTTAX - 02/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,170,5,1,4 floors,,Available from 15/07/2024,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / woodDouble exposure,3300.0,,"€ 7,000",1970,Good condition / Liveable,"Central, floor heating, powered by methane","Independent, cold/hot",F157.18 kWh/m² year
238,Milan,Corso 22 Marzo,Cadore,110/2023 - 01/16/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,200,5,3,4 floors,,Available,Optic fiberSecurity doorClosetBalconyCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / PVCDouble exposure,3300.0,€ 450/month,"€ 9,900",1940,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",F≥ 175 kWh/m² year
1957,Milan,Via Spartaco,Cadore,1670 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,110,3,4,5 floors,,Available,Electric gateBalconyTerraceFull day conciergeCentralized TV systemPartially furnishedWindow frames in double glass / woodDouble exposure,3300.0,€ 500/month,"€ 9,900",1900,Excellent / Refurbished,"Independent, with radiators, powered by methane",,G175 kWh/m² year
942,Milan,Vicolo Fiori,Brera,FIORI2FM - 02/16/2024,"Rent, open",Apartment | Full ownership | Stately property class,93,3,2,4 floors,1 in garage/box,Available,Optic fiberSecurity doorInternal exposureClosetBalconyCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / wood,3300.0,€ 250/month,"€ 9,900",1920,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",G166.41 kWh/m² year
1543,Milan,Piazza SantAngelo,Turati,Sant'Angelo EX Citterio - 02/29/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,155,3,5,5 floors,,Available,AtticOptic fiberVideo entryphoneSecurity doorBalconyFull day conciergeCentralized TV systemShared gardenWindow frames in double glass / woodDouble exposure,3300.0,€ 420/month,"€ 9,900",1936,Good condition / Liveable,"Central, with radiators, powered by methane",,G118 kWh/m² year
46,Milan,Viale di Porta Vercellina,Vercelli - Wagner,PORTA VERCELLINA 14 - 02/02/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,189,4,"2 floors: Basement (-1), 5",6 floors,,Available,Optic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyFull day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / PVC,3330.0,€ 416/month,Not indicated,1940,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",
1441,Milan,Via Morigi,Carrobbio,MORIGI - 02/27/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,115,3,4,5 floors,,Available,Video entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemPartially furnishedCellarWindow frames in double glass / woodDouble exposure,3330.0,€ 337/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",F117.48 kWh/m² year
1911,Milan,Viale di Porta Vercellina,Vercelli - Wagner,14 - 02/07/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,185,4,5,7 floors,,Available,Electric gateVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemPartially furnishedCellarWindow frames in glass / PVCDouble exposure,3333.0,€ 416/month,"€ 10,000",1950,Excellent / Refurbished,"Central, floor heating, powered by gas oil","Independent, cold/hot",G≥ 175 kWh/m² year
1506,Milan,Via Aldo Lusardi,Ticinese,LUSARDIDUPLEX - 02/08/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,110,4,"2 floors: Ground floor, 1",2 floors,1 in garage/box,Available,HydromassageElectric gateFireplaceAtticOptic fiberSecurity doorInternal exposureClosetTerraceHalf-day conciergeCentralized TV systemFurnishedPrivate gardenWindow frames in double glass / wood,3333.0,€ 208/month,"€ 20,000",1900,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold",G362.98 kWh/m² year
995,Milan,Via Luigi Amedeo Melegari,Palestro,melegari affitto - 02/09/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,146,3,3,4 floors,,Available,BalconyFull day conciergeCentralized TV systemCellarWindow frames in double glass / woodDouble exposure,3335.0,€ 625/month,"€ 10,000",1930,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",G175.1 kWh/m² year
1740,Milan,Via Flavio Stilicone,Cenisio,Stilicone Trilocale - 11/13/2023,"Rent, open",Apartment | Full ownership | Stately property class,138,3,6,7 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorTerraceFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,3350.0,€ 500/month,€ 1,2021,New / Under construction,"Central, floor heating, powered by methane","Independent, cold/hot",B≥ 175 kWh/m² year
1010,Milan,Via Aurelio Saffi,Vincenzo Monti,SA - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,100,4,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureClosetBalconyFull day conciergeCentralized TV systemCellarShared gardenWindow frames in double glass / wood,3350.0,€ 375/month,Not indicated,1900,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",G≥ 175 kWh/m² year
109,Milan,Via Macedonio Melloni,Indipendenza,EK-109715765 - 02/26/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,145,4,2,3 floors,,Available,Optic fiberSecurity doorClosetBalconyTerraceCentralized TV systemPartially furnishedWindow frames in double glass / metalDouble exposure,3400.0,€ 400/month,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E212.85 kWh/m² year
258,Milan,Via Carlo Ottavio Cornaggia,Carrobbio,Ad.Italia150 - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,150,4,2,3 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetFull day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / wood,3400.0,€ 290/month,Not indicated,1980,Excellent / Refurbished,"Independent, with radiators, gas powered","Independent, cold/hot",A70.05 kWh/m² year
79,Milan,Via Ciovasso,Brera,CIOV3 - 02/29/2024,Rent,Apartment | Full ownership | Stately property class,75,2,4,4 floors,,Available,FireplaceOptic fiberAlarm systemSecurity doorClosetTerraceCentralized TV systemFurnishedWindow frames in double glass / metalDouble exposure,3450.0,€ 300/month,"€ 10,350",1900,Excellent / Refurbished,"Independent, air heating","Independent, cold/hot",F175 kWh/m² year
1320,Milan,Via Ippolito Nievo,Sempione,Via Grancini - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,170,5,6,8 floors,1 in garage/box,Available,Electric gateOptic fiberSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVCDouble exposure,3500.0,€ 600/month,€ 1,1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E≥ 175 kWh/m² year
1324,Milan,Via Angelo Michele Grancini,Pagano,appartamento Pagano - 02/12/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,170,5,6,8 floors,1 in garage/box,Available,Electric gateOptic fiberSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVCDouble exposure,3500.0,€ 600/month,€ 1,1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E≥ 175 kWh/m² year
468,Milan,"Via Antonio Canova,37",Arco della Pace,100411 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,120,3,7,,,Available from 04/07/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,3500.0,No condominium fees,"€ 7,000",,Excellent / Refurbished,,,C175 kWh/m² year
975,Milan,Largo La Foppa,Moscova,CP- LargoFoppa01 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,103,4,1,6 floors,1 in garage/box,Available,Optic fiberVideo entryphoneSecurity doorBalconyFull day conciergeCentralized TV systemPartially furnishedCellarWindow frames in double glass / woodDouble exposure,3500.0,€ 408/month,"€ 21,000",1980,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",F174.35 kWh/m² year
618,Milan,Via Fatebenefratelli,Turati,AR392 - 02/26/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,90,2,5,6 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureBalconyTerraceFull day conciergeCentralized TV systemCellarWindow frames in double glass / wood,3500.0,€ 261/month,Not indicated,1940,Excellent / Refurbished,"Central, floor heating, gas powered","Independent, cold",F165.29 kWh/m² year
1078,Milan,Via Statuto,Moscova,VIA STATUTO - BRERA - 01/16/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,120,3,1,5 floors,,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureBalconyFull day conciergeCentralized TV systemOnly Kitchen FurnishedCellarWindow frames in double glass / wood,3500.0,€ 410/month,Not indicated,1980,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",G≥ 175 kWh/m² year
1229,Milan,Via Cerva,Borgogna - Largo Augusto,EK-109629633 - 02/26/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,110,3,2,4 floors,,Available from 15/07/2024,Optic fiberVideo entryphoneAlarm systemClosetBalconyHalf-day conciergeCentralized TV systemPartially furnishedShared gardenWindow frames in glass / woodDouble exposure,3500.0,€ 210/month,"€ 10,500",1960,Excellent / Refurbished,"Independent, with radiators, gas powered","Independent, cold/hot",F197.42 kWh/m² year
1998,Milan,Piazza Guglielmo Oberdan,Porta Venezia,AMI-PIS130 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,130,3,4,7 floors,,,Optic fiberSecurity doorInternal exposureClosetBalconyTerraceFull day conciergeCentralized TV systemPartially furnishedCellarWindow frames in double glass / PVC,3500.0,€ 350/month,Not indicated,1950,Excellent / Refurbished,"Central, floor heating, gas powered","Independent, cold/hot",D126 kWh/m² year
601,Milan,Corso Italia,Carrobbio,SanMartinoB22_2 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,85,3,3,6 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureClosetBalconyTerraceFull day conciergeTV system with satellite dishCellarWindow frames in glass / wood,3500.0,€ 333/month,Not indicated,,New / Under construction,Central,"Central, cold/hot",A+≥ 175 kWh/m² year
1913,Milan,Via Angelo Michele Grancini,Pagano,L:89GV - 02/29/2024,Rent,Apartment | Full ownership | Stately property class,170,4,6,7 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyFull day conciergeCentralized TV systemCellarShared gardenWindow frames in double glass / metalDouble exposure,3500.0,€ 600/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot","F≥ 3,51 kWh/m² year"
1180,Milan,Corso Italia,Carrobbio,Quadrilocale in Corso Italia - 02/23/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,136,4,4,4 floors,,Available,Electric gateAtticOptic fiberSecurity doorClosetBalconyFull day conciergeCentralized TV systemPartially furnishedWindow frames in glass / metalDouble exposure,3500.0,€ 360/month,"€ 21,000",1900,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot","G≥ 3,51 kWh/m² year"
910,Milan,Piazza della Repubblica,Repubblica,QUADRAFFITTNICK - 02/21/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,166,4,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorBalconyFull day conciergeCentralized TV systemWindow frames in double glass / PVCDouble exposure,3500.0,€ 500/month,"€ 7,000",1930,Good condition / Liveable,"Central, with radiators, powered by methane","Central, cold/hot",F255.55 kWh/m² year
1239,Milan,Via Moretto da Brescia,Città Studi,"CITTA' STUDI NUOVO, LUMINOSO ED ELEGANTE APPARTAMENTO CON BALCONI - 03/04/2024","Rent, 4+4",Apartment | Full ownership | Stately property class,230,5,1,8 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorInternal exposureClosetBalconyFull day conciergeCentralized TV systemPartially furnishedCellarShared gardenWindow frames in double glass / wood,3500.0,€ 630/month,"€ 10,500",1970,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E≥ 175 kWh/m² year
398,Milan,"Via Giulio Tarra,1",Centrale,121474 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,70,3,5,5 floors,,Available from 01/04/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,3500.0,No condominium fees,"€ 7,000",1975,Excellent / Refurbished,"Independent, with radiators, powered by methane",,C175 kWh/m² year
390,Milan,"Via Marsala,2",Moscova,136346 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Luxury property,80,2,1,5 floors,,Available from 08/02/2024,Optic fiberSecurity doorExternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,3500.0,No condominium fees,"€ 7,000",1975,Excellent / Refurbished,"Independent, with radiators, powered by methane",,C175 kWh/m² year
1351,Milan,Via Pietro Cossa,Palestro,Via Cossa - 03/05/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,120,3,6,6 floors,,Available,Electric gateOptic fiberSecurity doorClosetBalconyTerraceFull day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / woodDouble exposure,3500.0,€ 150/month,€ 1,1900,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",E≥ 175 kWh/m² year
233,Milan,Via Mascagni,Palestro,9409 - 10/27/2023,"Rent, 4+4",Apartment | Full ownership | Stately property class,166,4,3,6 floors,,Available,BalconyFull day conciergeOnly Kitchen FurnishedCellar,3500.0,€ 900/month,Not indicated,1960,Good condition / Liveable,"Central, with radiators, powered by methane",,F199.34 kWh/m² year
1591,Milan,Via Pasquale Sottocorno,Piave - Tricolore,3051 - 03/05/2024,Rent,Apartment | Full ownership | Stately property class,145,4,3,4 floors,1 in garage/box,Available,HydromassageVideo entryphoneAlarm systemBalconyTerraceFull day conciergeCentralized TV systemFurnishedShared garden,3500.0,€ 300/month,Not indicated,,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",
1490,Milan,Via Bernardino Telesio,Pagano,3007 - 02/22/2024,Rent,Apartment | Full ownership | Medium property class,185,5,3,4 floors,1 in garage/box,Available,BalconyFull day conciergeCentralized TV systemFurnishedShared garden,3500.0,€ 560/month,Not indicated,,Good condition / Liveable,"Central, with radiators, powered by methane",,
1435,Milan,Viale della Liberazione,Porta Nuova,21827 - 01/31/2024,Rent,Apartment | Full ownership,112,2,7,34 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureClosetBalconyTerraceFull day conciergeTV system with satellite dishFurnishedCellarWindow frames in double glass / PVC,3500.0,"€ 1,000/month",€ 1,2015,Excellent / Refurbished,"Central, floor heating","Central, cold/hot",B40.3 kWh/m² year
1621,Milan,Via Castelfidardo,Moscova,AMI - CASTELF 8 - 03/06/2024,Rent,Apartment | Full ownership | Luxury property,95,3,2,4 floors,,Available from 01/07/2024,Video entryphoneSecurity doorInternal exposureClosetBalconyFull day conciergeCentralized TV systemPartially furnishedCellarWindow frames in double glass / wood,3500.0,€ 350/month,Not indicated,1920,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",E126.75 kWh/m² year
240,Milan,via degli Ottoboni,San Siro,(1901929) sub 13 - 06/10/2020,Rent,Apartment | Full ownership | Luxury property,170,4,2,6 floors,,Available,Electric gateFireplaceOptic fiberVideo entryphoneAlarm systemSecurity doorBalconyTerraceFull day conciergeTV system with satellite dishFurnishedCellarShared gardenWindow frames in double glass / woodDouble exposure,3500.0,€ 500/month,Not indicated,1994,Excellent / Refurbished,"Central, with radiators",,E117.64 kWh/m² year
1397,Milan,Via San Martino,Ticinese,20680 - 01/31/2024,Rent,Apartment | Full ownership | Stately property class,130,3,3,4 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorBalconyTV system with satellite dishPartially furnishedWindow frames in double glass / PVCDouble exposure,3500.0,€ 183/month,€ 1,1880,Good condition / Liveable,"Independent, with radiators","Independent, cold/hot",G175.4 kWh/m² year
1673,Milan,Via Cesare Cesariano,Arco della Pace,RIF-1513 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,150,4,7,8 floors,,Available from 15/09/2024,AtticSecurity doorBalconyFull day conciergePartially furnishedCellarWindow frames in double glass / PVCDouble exposure,3500.0,€ 340/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, gas powered","Central, cold",E130 kWh/m² year
334,Milan,VIA DELLA MOSCOVA,Turati,5534 - 02/02/2024,"Rent, 4+4",Apartment | Stately property class,210,4,2,4 floors,,Available,Optic fiberSecurity doorBalconyFull day conciergePartially furnished,3500.0,€ 583/month,Not indicated,1970,Good condition / Liveable,"Central, with radiators","Independent, cold/hot",C21.39 kWh/m³ year
1659,Milan,Via Vittor Pisani,Repubblica,AMI-PIS130 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,130,3,4,7 floors,,,Optic fiberSecurity doorInternal exposureClosetBalconyTerraceFull day conciergeCentralized TV systemPartially furnishedCellarWindow frames in double glass / PVC,3500.0,€ 350/month,Not indicated,1950,Excellent / Refurbished,"Central, floor heating, gas powered","Independent, cold/hot",D126 kWh/m² year
866,Milan,Viale Beatrice dEste,Bocconi,W-02UPXJ - 02/07/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,132,4,2,6 floors,,Available,FireplaceOptic fiberExternal exposureBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / wood,3600.0,€ 467/month,Not indicated,1950,Excellent / Refurbished,"Central, floor heating, power supply","Central, cold/hot",F128.65 kWh/m² year
1750,Milan,Corso di Porta Romana,Missori,PR44 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,150,4,1,5 floors,,Available,Security doorClosetBalconyCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,3600.0,€ 250/month,"€ 10,800",1950,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold","G≥ 3,51 kWh/m² year"
734,Milan,Via Edmondo De Amicis,Ticinese,De Amicis - 03/06/2024,"Rent, agreed",Apartment | Full ownership | Stately property class,160,3,10,10 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / metal,3666.0,€ 480/month,"€ 11,000",1950,Excellent / Refurbished,"Central, floor heating, gas powered","Independent, cold/hot",E204 kWh/m² year
45,Milan,Via Larga,Missori,AR 2559/23 - 02/28/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,120,4,5,8 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorClosetBalconyFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / metalDouble exposure,3700.0,€ 500/month,"€ 11,100",1950,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",E50.71 kWh/m² year
89,Milan,Via Lupetta,Carrobbio,L1290 - 02/06/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,140,3,4,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyFull day conciergeCentralized TV systemPartially furnishedWindow frames in double glass / wood,3700.0,€ 375/month,"€ 11,100",1880,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",G175.02 kWh/m² year
